Chuyên đề,Câu hỏi lớn của chuyên đề,Mã dạng,Dạng bài,Đọc vị — dấu hiệu trên đề,Phương pháp,Bước giải (việc → mục đích),Mẹo xử lý,Sai lầm đặc trưng
Địa lý tự nhiên,"Đặc điểm tự nhiên này do nhân tố nào quyết định, và nó kéo theo hệ quả gì?",nat.monsoon,Gió mùa và phân mùa khí hậu,"Đề nói về gió mùa Đông Bắc, gió mùa Tây Nam, gió phơn | Hỏi thời tiết một mùa ở một vùng cụ thể","Mỗi loại gió có ba thuộc tính cần nhớ: nguồn gốc, đường đi, và tính chất khi tới nơi. Tính chất luôn phụ thuộc đường đi — qua biển thì ẩm, qua lục địa thì khô, vượt núi thì khô nóng ở sườn khuất gió.","1. Xác định gió gì, thổi vào mùa nào. → Gió mùa Đông Bắc từ tháng 11 đến tháng 4; Tây Nam từ tháng 5 đến tháng 10. | 2. Truy đường đi của khối khí. → Đường đi quyết định độ ẩm nhiều hơn nguồn gốc. | 3. Xác định vùng đang xét nằm ở sườn đón gió hay khuất gió. → Cùng một khối khí cho hai kiểu thời tiết hoàn toàn khác ở hai sườn. | 4. Kết luận về nhiệt và ẩm. → Đây là hai đại lượng đề hỏi.","Nửa đầu mùa đông lạnh KHÔ (khối khí qua lục địa), nửa sau lạnh ẨM có mưa phùn (khối khí lệch ra biển, được tăng ẩm). Phân biệt hai nửa mùa đông là mấu chốt của rất nhiều câu.",Cho rằng gió mùa Tây Nam gây mưa cho cả nước. Ở Bắc Trung Bộ nó vượt Trường Sơn và gây khô nóng.
Địa lý tự nhiên,"Đặc điểm tự nhiên này do nhân tố nào quyết định, và nó kéo theo hệ quả gì?",nat.explain,Giải thích hiện tượng tự nhiên,"Câu hỏi bắt đầu bằng ""Vì sao"", ""Nguyên nhân chủ yếu"" | Về xâm nhập mặn, lũ quét, sạt lở, khô hạn","Tìm chuỗi nhân quả từ đặc điểm tự nhiên tới hiện tượng, thường qua hai đến ba mắt xích. Nguyên nhân ""chủ yếu"" là mắt xích gần nhất và có tác động mạnh nhất, không phải mắt xích xa nhất.","1. Mô tả hiện tượng cần giải thích cho chính xác. → Xâm nhập mặn khác với ngập lụt, và có nguyên nhân khác. | 2. Liệt kê đặc điểm tự nhiên của vùng liên quan. → Địa hình, khí hậu, thủy văn là ba nguồn nguyên nhân chính. | 3. Nối chúng thành chuỗi nhân quả tới hiện tượng. → Chuỗi giúp phân biệt nguyên nhân trực tiếp với nguyên nhân nền. | 4. Chọn mắt xích mạnh nhất nếu đề hỏi nguyên nhân chủ yếu. → Nhiều phương án đều là nguyên nhân, khác nhau ở mức độ.",Đồng bằng sông Cửu Long bị xâm nhập mặn nặng vì địa hình rất thấp và nhiều cửa sông — hai đặc điểm này giải thích được gần như mọi hiện tượng thủy văn của vùng.,"Chọn nguyên nhân đúng nhưng là nguyên nhân nền, trong khi đề hỏi nguyên nhân chủ yếu hoặc trực tiếp."
Địa lý kinh tế — xã hội,"Vùng này mạnh ở đâu, yếu ở đâu, và vì sao lại như vậy?",eco.strength,Thế mạnh và hạn chế của vùng,"Đề hỏi thế mạnh nổi bật, khó khăn lớn nhất của một vùng | Có tên một trong bảy vùng kinh tế","Phân hai nhóm nhân tố: tự nhiên (đất, khí hậu, khoáng sản, nước) và kinh tế – xã hội (lao động, hạ tầng, vốn, thị trường). Thế mạnh của một vùng luôn là sự gặp nhau của một vài nhân tố cụ thể, không phải một danh sách chung chung.","1. Nhớ đặc điểm tự nhiên nổi bật nhất của vùng. → Đây thường là gốc của thế mạnh nông nghiệp và công nghiệp khai thác. | 2. Nhớ đặc điểm kinh tế – xã hội nổi bật. → Đây là gốc của thế mạnh công nghiệp chế biến và dịch vụ. | 3. Với câu hỏi ""quyết định nhất"", chọn nhóm phù hợp với ngành đang xét. → Công nghiệp Đông Nam Bộ mạnh nhờ nhân tố kinh tế – xã hội, không phải nhờ tài nguyên. | 4. Loại phương án mô tả đặc điểm của vùng khác. → Đề trộn đặc điểm giữa các vùng rất thường xuyên.","Nhớ theo cặp ""vùng – thế mạnh độc quyền"": Trung du miền núi Bắc Bộ – khoáng sản và thủy điện; Tây Nguyên – cây công nghiệp lâu năm trên đất badan; Đồng bằng sông Cửu Long – lương thực và thủy sản; Đông Nam Bộ – công nghiệp và dịch vụ.","Quy thế mạnh công nghiệp của Đông Nam Bộ cho tài nguyên khoáng sản. Than đá ở Quảng Ninh, thuộc vùng khác."
Địa lý kinh tế — xã hội,"Vùng này mạnh ở đâu, yếu ở đâu, và vì sao lại như vậy?",eco.shift,Chuyển dịch cơ cấu kinh tế,"Đề nói về cơ cấu ngành, cơ cấu lãnh thổ, cơ cấu thành phần kinh tế | Có bảng số liệu tỉ trọng qua các năm","Hướng chuyển dịch chuẩn của công nghiệp hóa: khu vực I giảm tỉ trọng, khu vực II và III tăng. Nhưng phải phân biệt rõ tỉ trọng giảm với giá trị giảm — chúng hoàn toàn khác nhau.","1. Đọc bảng: đang là giá trị tuyệt đối hay tỉ trọng? → Hai loại bảng cho hai kết luận khác nhau. | 2. Tính hoặc đọc xu hướng của từng khu vực. → Xu hướng quan trọng hơn con số từng năm. | 3. Nếu tỉ trọng giảm mà giá trị tăng: kết luận là tăng chậm hơn các khu vực khác. → Đây là dấu hiệu công nghiệp hóa, không phải suy thoái. | 4. Đối chiếu với hướng chuyển dịch chuẩn để đánh giá. → Đề thường hỏi chuyển dịch có tích cực hay không.","Tổng tỉ trọng ba khu vực luôn bằng 100%, nên không thể cả ba cùng tăng hoặc cùng giảm. Nhận xét này loại được ngay một phương án nhiễu quen thuộc.",Kết luận nông nghiệp suy giảm khi thấy tỉ trọng giảm.
Địa lý kinh tế — xã hội,"Vùng này mạnh ở đâu, yếu ở đâu, và vì sao lại như vậy?",eco.population,"Dân cư, lao động, đô thị hóa","Đề nói về cơ cấu dân số, phân bố dân cư, tỉ lệ dân thành thị | Hỏi thuận lợi và khó khăn của nguồn lao động","Mọi đặc điểm dân cư đều có hai mặt, và đề luôn hỏi mặt phù hợp với ngữ cảnh. Dân số đông là thị trường lớn nhưng cũng là sức ép việc làm; cơ cấu vàng là cơ hội nhưng chỉ trong một giai đoạn.","1. Xác định đặc điểm dân cư đang được hỏi. → Cơ cấu tuổi, phân bố, hay chất lượng lao động là ba chuyện khác nhau. | 2. Nêu mặt thuận lợi và mặt khó khăn của đặc điểm đó. → Đề gần như luôn hỏi một trong hai. | 3. Gắn với hệ quả cụ thể: việc làm, thu nhập, hạ tầng đô thị. → Phương án đúng thường nêu hệ quả cụ thể chứ không nêu đặc điểm. | 4. Chú ý phân bố không đều là đặc điểm nổi bật nhất của dân cư nước ta. → Nó là gốc của cả sức ép ở đồng bằng lẫn thiếu lao động ở miền núi.",Đồng bằng chiếm khoảng 1/4 diện tích nhưng tập trung khoảng 3/4 dân số. Hai phân số này giải thích được cả sức ép việc làm lẫn tình trạng thiếu lao động ở trung du miền núi.,Cho rằng cơ cấu dân số vàng là trạng thái lâu dài. Nó chỉ kéo dài một giai đoạn rồi chuyển sang già hóa.
"Bảng số liệu, biểu đồ & Atlat","Bảng số liệu này phù hợp với dạng biểu đồ nào, và nó cho phép kết luận gì?",dat.chart,Chọn dạng biểu đồ,"Đề cho bảng số liệu và hỏi ""biểu đồ nào thích hợp nhất"" | Có yêu cầu thể hiện cơ cấu, tốc độ tăng trưởng, hoặc quy mô","Đọc TỪ KHÓA của yêu cầu, rồi đếm số mốc thời gian. Hai thông tin này xác định duy nhất một dạng biểu đồ — không cần suy nghĩ thêm.","1. Tìm từ khóa: cơ cấu, tốc độ tăng trưởng, quy mô, hay so sánh. → Từ khóa quyết định nhóm biểu đồ. | 2. Đếm số mốc thời gian trong bảng. → Cơ cấu với ≤3 mốc là tròn; ≥4 mốc là miền. | 3. Đếm số đơn vị khác nhau trong bảng. → Hai đơn vị khác nhau bắt buộc dùng biểu đồ kết hợp. | 4. Chốt dạng biểu đồ và kiểm tra lại với yêu cầu. → Một phép đối chiếu cuối tránh chọn nhầm.","Bảng quy đổi cố định: cơ cấu ≤3 năm → tròn; cơ cấu ≥4 năm → miền; tốc độ tăng trưởng → đường; so sánh quy mô → cột; hai đơn vị → kết hợp cột và đường. Thuộc bảng này là làm đúng 100% dạng câu.","Chọn biểu đồ tròn cho bảng có 5 mốc thời gian. Sẽ phải vẽ 5 hình tròn, không so sánh được xu hướng."
"Bảng số liệu, biểu đồ & Atlat","Bảng số liệu này phù hợp với dạng biểu đồ nào, và nó cho phép kết luận gì?",dat.calc,Xử lý số liệu,"Đề yêu cầu tính tỉ trọng, tốc độ tăng trưởng, bình quân đầu người, mật độ | Câu hỏi có ""bao nhiêu phần trăm"", ""bao nhiêu kg/người""","Bốn công thức bao trọn dạng này: tỉ trọng = bộ phận/tổng ×100; tốc độ tăng trưởng = năm sau/năm gốc ×100; bình quân = tổng/số dân; mật độ = dân số/diện tích. Khó không nằm ở công thức mà ở ĐƠN VỊ.","1. Xác định công thức cần dùng từ câu hỏi. → Bốn công thức, mỗi câu chỉ dùng một. | 2. Đổi mọi số liệu về cùng hệ đơn vị trước khi tính. → Triệu tấn và nghìn người là nguồn sai lớn nhất. | 3. Tính và làm tròn theo yêu cầu. → Đáp án trắc nghiệm thường đã làm tròn. | 4. Kiểm tra kết quả có hợp lý về độ lớn không. → Bình quân lương thực 0,5 kg/người là dấu hiệu quên đổi tấn ra kilôgam.","Tốc độ tăng trưởng lấy năm gốc = 100%. Nếu đề hỏi ""tăng bao nhiêu phần trăm"" thì phải TRỪ 100 khỏi kết quả. Hai câu hỏi này chỉ khác một chữ và cho hai đáp án khác nhau.",Quên đổi đơn vị. Đây là nguyên nhân của gần như mọi đáp án lệch một bậc mười.
"Bảng số liệu, biểu đồ & Atlat","Bảng số liệu này phù hợp với dạng biểu đồ nào, và nó cho phép kết luận gì?",dat.read,Nhận xét bảng số liệu và Atlat,"Câu hỏi ""Nhận xét nào sau đây đúng"" | Có yêu cầu đọc Atlat trang cụ thể","Với nhận xét: kiểm tra từng phương án bằng số liệu, không đọc lướt. Với Atlat: đọc chú giải TRƯỚC, vì mọi thông tin của bản đồ chuyên đề đều mã hóa trong đó.","1. Đọc kỹ từng phương án, xác định nó khẳng định điều gì. → Phương án nhiễu thường đúng một nửa. | 2. Tìm đúng ô số liệu cần thiết và kiểm tra. → Không đoán; bảng đã có đủ dữ kiện. | 3. Chú ý các phương án so sánh xu hướng chứ không so sánh giá trị. → ""Tăng liên tục"" đòi hỏi kiểm tra mọi cặp năm liên tiếp. | 4. Với Atlat: đọc chú giải, xác định thang màu và ký hiệu rồi mới đọc bản đồ. → Bỏ qua chú giải là đọc sai thang màu.","Phương án chứa từ ""liên tục"", ""luôn luôn"", ""cao nhất"" đòi hỏi kiểm tra TOÀN BỘ dãy số liệu. Một năm ngoại lệ đủ để loại phương án đó.",Nhận xét theo cảm nhận thị giác từ biểu đồ mà không kiểm tra số liệu.
Grammar & Structure,"Cấu trúc nào đang được kiểm tra ở đây, và dấu hiệu nào trong câu chỉ ra nó?",egr.tense,Thì và sự phối hợp thì,"Có trạng ngữ thời gian: by the time, since, for, already, yesterday | Câu có hai mệnh đề với hai hành động ở hai thời điểm","Tìm mốc thời gian trước, chọn thì sau. Mọi câu hỏi về thì đều có một dấu hiệu thời gian, hiển ngôn hoặc qua thì của mệnh đề còn lại. Đừng chọn theo cảm giác âm thanh.",1. Gạch chân trạng ngữ thời gian hoặc thì của mệnh đề kia. → Đây là dữ kiện duy nhất quyết định đáp án. | 2. Xác định hành động xảy ra trước hay sau mốc đó. → Trước một mốc quá khứ thì dùng quá khứ hoàn thành. | 3. Kiểm tra chủ ngữ chủ động hay bị động. → Câu hỏi thường kiểm tra cả thì lẫn thể trong một chỗ trống. | 4. Chọn phương án khớp cả thì và thể. → Ba phương án nhiễu thường đúng một trong hai.,by the time + quá khứ đơn → mệnh đề chính dùng quá khứ hoàn thành. since/for → hiện tại hoàn thành. Hai cặp này chiếm phần lớn câu hỏi về thì.,"Dùng hiện tại hoàn thành với một mốc thời gian quá khứ xác định (yesterday, in 2010)."
Grammar & Structure,"Cấu trúc nào đang được kiểm tra ở đây, và dấu hiệu nào trong câu chỉ ra nó?",egr.clause,"Mệnh đề quan hệ, điều kiện, rút gọn","Có who, which, that, whose, hoặc dấu phẩy trước đại từ quan hệ | Có if, unless, hoặc câu đảo ngữ Had/Were/Should",Với mệnh đề quan hệ: xác định danh từ đứng trước và vai trò của nó trong mệnh đề. Với câu điều kiện: xác định thời điểm của giả thiết và thời điểm của kết quả — chúng có thể khác nhau (điều kiện hỗn hợp).,"1. Với mệnh đề quan hệ: tìm danh từ được thay thế. → Người dùng who, vật dùng which, sở hữu dùng whose cho cả hai. | 2. Kiểm tra có dấu phẩy không. → Có dấu phẩy là mệnh đề không xác định — không dùng that. | 3. Với câu điều kiện: xác định loại theo thì. → Loại 2 giả định hiện tại, loại 3 giả định quá khứ. | 4. Kiểm tra điều kiện hỗn hợp: giả thiết quá khứ nhưng kết quả hiện tại. → Đây là dạng khó nhất và xuất hiện nhiều trong đề nâng cao.","Đảo ngữ câu điều kiện: If I had known → Had I known; If I were → Were I; If you should → Should you. Ba khuôn này nhận ra ngay là biết loại câu điều kiện.",Dùng that trong mệnh đề quan hệ không xác định (sau dấu phẩy). Cấu trúc này không tồn tại.
Grammar & Structure,"Cấu trúc nào đang được kiểm tra ở đây, và dấu hiệu nào trong câu chỉ ra nó?",egr.error,Tìm lỗi sai trong câu,"Bốn phần của câu được gạch chân và đánh dấu (A), (B), (C), (D) | Câu hỏi yêu cầu chọn phần cần sửa","Kiểm tra theo danh sách cố định, theo thứ tự tần suất: hòa hợp chủ ngữ – động từ, thì, dạng từ, giới từ, song song. Kiểm tra có hệ thống nhanh hơn đọc cảm tính.","1. Tìm chủ ngữ thật và động từ chính, kiểm tra hòa hợp số. → Đây là lỗi phổ biến nhất trong dạng này. | 2. Kiểm tra thì có nhất quán với trạng ngữ thời gian không. → Lỗi phổ biến thứ hai sau hòa hợp chủ ngữ; trạng ngữ thời gian là bằng chứng duy nhất về thì đúng. | 3. Kiểm tra dạng từ: chỗ cần danh từ có phải danh từ không, chỗ cần trạng từ có phải trạng từ không. → Tính từ bổ nghĩa tính từ là lỗi hay gặp. | 4. Kiểm tra cấu trúc song song trong câu có liệt kê. → Các thành phần nối bằng and phải cùng dạng.",The number of + danh từ số nhiều luôn đi với động từ SỐ ÍT. A number of + danh từ số nhiều đi với động từ SỐ NHIỀU. Cặp này xuất hiện gần như trong mọi đề.,Bị đánh lừa bởi cụm từ dài xen giữa chủ ngữ và động từ. Xóa cụm đó đi thì lỗi hòa hợp lộ ra ngay.
Vocabulary & Collocation,"Từ nào đi với từ nào, và sắc thái nào hợp với câu này?",evo.collocation,Kết hợp từ cố định,"Bốn phương án đều đúng nghĩa nhưng chỉ một đi được với từ bên cạnh | Có cụm động từ + danh từ, hoặc tính từ + giới từ","Kết hợp từ là quy ước, không phải logic. Không suy ra được từ nghĩa — phải tích lũy qua đọc. Khi phân vân, đọc thầm cả cụm và chọn cụm nghe quen nhất.","1. Xác định từ cố định trong câu (từ không phải chỗ trống). → Nó là từ ràng buộc chỗ trống. | 2. Ghép lần lượt bốn phương án với từ đó. → Chỉ một cụm là kết hợp chuẩn. | 3. Loại các cụm đúng nghĩa nhưng không tồn tại trong tiếng Anh. → ""Make a mistake"" đúng, ""do a mistake"" sai dù nghĩa như nhau. | 4. Kiểm tra giới từ đi kèm nếu có. → Nhiều câu thực chất kiểm tra giới từ chứ không kiểm tra từ chính.","Nhóm collocation theo động từ: make (a decision, a mistake, progress), do (homework, research, business), take (a break, responsibility, place). Ba động từ này chiếm phần lớn câu hỏi kết hợp từ.","Dịch từ tiếng Việt sang. ""Học bài"" không phải ""study lesson""; kết hợp từ không dịch được."
Vocabulary & Collocation,"Từ nào đi với từ nào, và sắc thái nào hợp với câu này?",evo.wordform,Dạng từ,"Bốn phương án là bốn dạng của cùng một gốc từ: care, careful, carefully, carelessness | Chỗ trống nằm giữa các thành phần rõ ràng","Nhìn vị trí ngữ pháp của chỗ trống, không nhìn nghĩa. Sau mạo từ hoặc tính từ → danh từ; trước danh từ → tính từ; bổ nghĩa cho động từ hoặc tính từ → trạng từ.","1. Xác định từ đứng ngay trước và ngay sau chỗ trống. → Hai từ này quyết định loại từ cần điền. | 2. Suy ra loại từ cần thiết. → Đây là bài toán vị trí, không phải bài toán nghĩa. | 3. Chọn phương án đúng loại từ. → Thường chỉ còn một phương án sau bước này. | 4. Nếu còn hai phương án cùng loại: xét nghĩa tích cực hay tiêu cực. → careless và careful đều là tính từ nhưng trái nghĩa.","Đuôi từ tiết lộ loại từ: -tion, -ment, -ness, -ity → danh từ; -ful, -less, -ous, -ive → tính từ; -ly → trạng từ; -ise, -ify, -en → động từ. Nhận ra đuôi là xong nửa câu.","Chọn theo nghĩa mà bỏ qua vị trí ngữ pháp. Vị trí quyết định trước, nghĩa quyết định sau."
Vocabulary & Collocation,"Từ nào đi với từ nào, và sắc thái nào hợp với câu này?",evo.synonym,Đồng nghĩa và trái nghĩa trong ngữ cảnh,Đề in đậm hoặc gạch chân một từ và hỏi CLOSEST hoặc OPPOSITE in meaning | Bốn phương án là bốn từ đơn cùng loại từ với từ được hỏi,"Đọc cả câu để lấy ngữ cảnh, đoán nghĩa từ đó, rồi mới nhìn phương án. Cảnh giác: câu hỏi OPPOSITE luôn có ít nhất một phương án ĐỒNG nghĩa làm bẫy.","1. Đọc kỹ đề: đang hỏi closest hay opposite? → Đọc nhầm là mất điểm dù hiểu đúng từ. | 2. Đoán nghĩa từ được hỏi dựa vào ngữ cảnh. → Ngữ cảnh thường đủ để đoán ngay cả khi chưa biết từ. | 3. Thay từng phương án vào câu. → Phép thử trực tiếp nhất: từ đúng phải giữ nguyên nghĩa của cả câu, không chỉ hợp nghĩa rời. | 4. Với câu opposite: loại ngay phương án đồng nghĩa. → Nó luôn có mặt và luôn là bẫy.","Tiền tố phủ định là manh mối mạnh cho câu trái nghĩa: un-, in-, im-, dis-, mis-. Nếu một phương án có tiền tố phủ định của chính từ được hỏi, khả năng cao đó là đáp án.",Đọc lướt qua chữ OPPOSITE và chọn từ đồng nghĩa.
Reading Comprehension,"Đoạn văn khẳng định điều gì, và câu hỏi đang hỏi về đoạn nào?",ere.detail,Câu hỏi chi tiết,"Câu hỏi có ""According to paragraph…"", ""The author states that…"" | Đáp án có thể tìm nguyên văn hoặc diễn đạt lại từ bài","Định vị đoạn bằng từ khóa của câu hỏi, đọc kỹ hai đến ba câu quanh đó, rồi so với phương án. Đừng dựa vào trí nhớ sau khi đọc lướt — luôn quay lại bài.","1. Nhặt từ khóa trong câu hỏi: tên riêng, số, thuật ngữ. → Từ khóa dễ định vị vì chúng hiếm khi bị diễn đạt lại. | 2. Quét bài tìm từ khóa đó. → Nhanh hơn nhiều so với đọc lại từ đầu. | 3. Đọc kỹ câu chứa từ khóa và một câu trước, một câu sau. → Thông tin cần thiết gần như luôn nằm trong ba câu này. | 4. So với bốn phương án, chọn phương án diễn đạt lại đúng ý đó. → Đáp án hiếm khi trùng nguyên văn.",Phương án đúng thường là bản DIỄN ĐẠT LẠI của câu trong bài. Phương án dùng nguyên văn từ trong bài nhưng ghép lại theo cách khác thường là bẫy.,"Chọn phương án vì thấy các từ quen thuộc từ bài, mà không kiểm tra chúng có được ghép đúng ý không."
Reading Comprehension,"Đoạn văn khẳng định điều gì, và câu hỏi đang hỏi về đoạn nào?",ere.inference,Câu hỏi suy luận và mục đích,"Có ""can be inferred"", ""implies"", ""the purpose of paragraph 2 is"" | Đáp án không xuất hiện trực tiếp trong bài","Suy luận hợp lệ là suy luận mà văn bản bảo đảm. Với câu hỏi mục đích, hỏi: đoạn này làm gì cho lập luận chung — nêu vấn đề, đưa ví dụ, phản bác, hay kết luận?","1. Xác định đoạn liên quan và vai trò của nó trong bài. → Mục đích của một đoạn chỉ hiểu được trong mạch chung. | 2. Với câu suy luận: tìm câu trong bài làm căn cứ. → Không có căn cứ thì đó là đoán, không phải suy luận. | 3. Loại phương án đi quá xa: thêm nguyên nhân, thêm mức độ, khái quát hóa. → Ba cách này là cách phương án nhiễu vượt quá văn bản. | 4. Chọn phương án dè dặt nhất mà vẫn trả lời được câu hỏi. → Trong đọc hiểu, khẳng định mạnh thường sai.","Cảnh giác với các từ tuyệt đối trong phương án: always, never, all, only, must. Văn bản học thuật hiếm khi bảo đảm được những khẳng định như vậy.","Dùng kiến thức nền để chọn. Câu hỏi hỏi bài viết gì, không hỏi thực tế thế nào."
Reading Comprehension,"Đoạn văn khẳng định điều gì, và câu hỏi đang hỏi về đoạn nào?",ere.vocab,Từ vựng trong bài đọc,Câu hỏi in đậm một từ trong đoạn và hỏi nghĩa gần nhất | Câu hỏi có chỉ rõ từ đó nằm ở dòng nào hoặc đoạn nào của bài,"Đây là câu hỏi ngữ cảnh, không phải câu hỏi từ điển. Che từ đó, đọc lại câu, tự điền một từ của mình, rồi chọn phương án gần nhất. Kỹ thuật này hiệu quả ngay cả khi bạn chưa từng gặp từ đó.","1. Đọc trọn câu chứa từ, và câu trước nếu cần. → Ngữ cảnh là nguồn thông tin duy nhất khi chưa biết từ. | 2. Tìm dấu hiệu: từ nối, dấu phẩy giải thích, ví dụ đi kèm. → Bài học thuật thường tự giải nghĩa từ khó ngay sau đó. | 3. Tự nghĩ một từ thay thế. → Dự đoán độc lập trước khi bị bốn phương án dẫn dắt. | 4. Thay phương án đã chọn vào câu và đọc lại. → Câu phải mượt và giữ nguyên ý.","Từ nối chỉ ra quan hệ nghĩa: ""but"", ""however"" báo hiệu từ đó trái nghĩa với ý trước; ""in other words"", ""that is"" báo hiệu câu sau giải thích chính từ đó.",Chọn nghĩa thông dụng nhất của từ mà bỏ qua ngữ cảnh đang dùng nghĩa chuyên ngành.
